symptom,remedies,description,usage,precautions,image_url
Acidity Indigestion,Triphala,"Triphala supports digestion, reduces acidity, and gently detoxifies.",Take 1 teaspoon powder with warm water before bed.,Avoid during pregnancy; not suitable in diarrhea.,https://example.com/images/triphala.jpg
Acne Pimples,Manjistha,Manjistha purifies blood and reduces skin eruptions like acne and pimples.,Take 1–2 teaspoons powder with warm water daily.,Avoid during pregnancy; may interact with blood thinners.,https://example.com/images/manjistha.jpg
Alcohol Withdrawal Support,Brahmi,Brahmi calms the mind and helps reduce cravings during alcohol withdrawal.,Take 1–2 tablets or 1 tsp powder with warm milk daily.,Avoid overdose; use cautiously in low blood pressure.,https://example.com/images/brahmi.jpg
Allergic Rhinitis,Haridra,Haridra (Turmeric) relieves nasal allergies and boosts immunity.,Take 1 tsp turmeric milk at night or 500 mg capsule twice daily.,Avoid excess use in gallbladder obstruction.,https://example.com/images/haridra.jpg
Altitude Sickness,Brahmi,Brahmi enhances oxygen utilization and reduces altitude-related stress.,Take 1–2 tablets or 1 tsp powder daily with warm water.,Avoid in hypotension; consult physician for long-term use.,https://example.com/images/brahmi.jpg
Anemia Weakness,Mandur Bhasma,Mandur Bhasma increases hemoglobin and reduces fatigue caused by anemia.,Take 125 mg twice daily with honey or ghee.,Avoid overdose; use only under medical supervision.,https://example.com/images/mandur_bhasma.jpg
Asthma Breathing Difficulty,Vasaka,Vasaka clears respiratory passages and reduces breathlessness.,Take 1 tsp Vasaka leaf juice or decoction twice daily.,Avoid in pregnancy; monitor with other asthma medications.,https://example.com/images/vasaka.jpg
Astigmatism,Triphala Eye Drops,Triphala eyewash improves vision and relieves eye strain.,Use Triphala decoction to wash eyes once daily.,Use only sterile preparations; avoid in eye infections.,https://example.com/images/triphala_eye_drops.jpg
Back Pain Spinal Pain,Shallaki,"Shallaki reduces spinal inflammation, easing chronic back pain.",Take 1–2 tablets or 500 mg capsule twice daily.,Avoid in pregnancy; may interact with NSAIDs.,https://example.com/images/shallaki.jpg
Bronchitis,Tulsi,"Tulsi relieves bronchial congestion, reduces cough, and supports lungs.",Take Tulsi tea twice daily or 1–2 tablets daily.,Avoid in hypoglycemia; caution with anticoagulants.,https://example.com/images/tulsi.jpg
Burns,Aloe Vera,Aloe Vera soothes burns and promotes skin healing.,Apply fresh Aloe Vera gel on affected skin twice daily.,Avoid applying on deep infected wounds without medical care.,https://www.news-medical.net/image-handler/picture/2018/8/shutterstock_242698879.jpg
Cholesterol Imbalance,Arjuna,Arjuna strengthens the heart and helps reduce cholesterol levels.,Take Arjuna bark decoction (10 g bark boiled in water) once daily.,Avoid in low blood pressure; may interact with heart medications.,https://example.com/images/arjuna.jpg
Cold Cough Flu,Tulsi,Tulsi boosts immunity and reduces cough and flu symptoms.,Boil 3–5 leaves in tea twice daily.,Avoid in hypoglycemia; caution with blood thinners.,https://example.com/images/tulsi.jpg
Cold Hands Poor Circulation,Arjuna,Arjuna improves circulation and supports cardiac health.,Take 1–2 tsp bark powder boiled in water daily.,Avoid in hypotension; monitor with cardiac medications.,https://example.com/images/arjuna.jpg
Constipation,Isabgol,Isabgol husk increases fiber intake and relieves constipation.,Mix 1–2 tsp husk in warm water before bedtime.,Avoid in bowel obstruction; drink sufficient water.,https://example.com/images/isabgol.jpg
Depression Anxiety,Jatamansi,Jatamansi calms the nervous system and reduces anxiety.,Take 500 mg capsule or 1 tsp powder with milk at night.,Avoid overdose; may cause drowsiness.,https://example.com/images/jatamansi.jpg
Diabetes,Gudmar,Gudmar reduces sugar cravings and supports blood sugar regulation.,Take 1 capsule or 2 g powder daily after meals.,Consult physician if on insulin; avoid in pregnancy.,https://example.com/images/gudmar.jpg
Diarrhea Loose Motion,Kutaj,Kutaj is effective for diarrhea and dysentery.,Take 1–2 g Kutaj bark powder with water twice daily.,Avoid in constipation-prone patients.,https://example.com/images/kutaj.jpg
Ear Infection,Garlic,Garlic oil relieves ear pain and infection symptoms.,Warm 2–3 drops garlic oil and apply to ear canal.,Avoid in ruptured eardrum; consult physician if persistent.,https://example.com/images/garlic.jpg
Eczema,Khadir,Khadir purifies blood and reduces skin inflammation in eczema.,Take 1–2 g powder daily; apply decoction on lesions.,Avoid in pregnancy; external use should be patch-tested.,https://example.com/images/khadir.jpg
Eye Strain Weak Vision,Triphala Ghrita,Triphala Ghrita improves vision and relieves eye strain.,Use 1 tsp with warm milk daily; external eye wash if sterile.,Avoid in eye infections without medical advice.,https://example.com/images/triphala_ghrita.jpg
Fever,Giloy,Giloy reduces fever and boosts immunity.,Take decoction of Giloy stem twice daily.,Avoid in autoimmune disorders unless supervised.,https://example.com/images/giloy.jpg
Fracture Recovery,Hadjod,Hadjod promotes bone healing and strength.,Take 5 g stem powder with milk twice daily.,Avoid in kidney stones due to oxalate content.,https://example.com/images/hadjod.jpg
Gallstones,Sharpunkha,Sharpunkha supports liver and gallbladder health.,Take 1–2 g powder daily with water.,Avoid without medical supervision for gallbladder stones.,https://example.com/images/sharpunkha.jpg
Gas Flatulence,Hing,Hing improves digestion and relieves bloating.,Take 1 pinch Hing powder with warm water after meals.,Avoid in gastric ulcers.,https://example.com/images/hing.jpg
Gastritis,Shankha Bhasma,Shankha Bhasma reduces acidity and gastric discomfort.,Take 250 mg twice daily with ghee or honey.,Use only under supervision; avoid overdose.,https://example.com/images/shankha_bhasma.jpg
Gout Uric Acid,Guduchi,Guduchi lowers uric acid and reduces gout inflammation.,Take 1–2 tsp stem decoction daily.,Avoid in autoimmune disorders without supervision.,https://example.com/images/guduchi.jpg
Hair Fall Dandruff,Bhringraj,Bhringraj nourishes hair and reduces dandruff.,Apply oil to scalp twice weekly; take 1 tsp powder daily.,Avoid in pregnancy without physician guidance.,https://example.com/images/bhringraj.jpg
Headache Stress,Brahmi,Brahmi improves focus and relieves stress-related headaches.,Take 1–2 tsp powder with warm milk or tablets daily.,Avoid overdose; caution in hypotension.,https://example.com/images/brahmi.jpg
Heart Disease Support,Arjuna Bark,Arjuna strengthens the heart and supports cardiovascular function.,Take decoction of bark 1 cup daily.,Avoid in hypotension; consult cardiologist if on medication.,https://example.com/images/arjuna_bark.jpg
Hepatitis Support,Kalmegh,Kalmegh supports liver detox and improves hepatitis recovery.,Take 1–2 g powder daily with warm water.,Avoid in low blood pressure or weak digestion.,https://example.com/images/kalmegh.jpg
High Blood Pressure Hypertension,Sarpagandha,Sarpagandha reduces blood pressure and calms the mind.,Take 250 mg root powder at bedtime.,Avoid in depression; use strictly under medical supervision.,https://example.com/images/sarpagandha.jpg
Immunity Weakness,Amla,Amla rejuvenates tissues and boosts immunity.,Take 1–2 tsp powder or 20 ml juice daily.,Avoid excess use in diarrhea.,https://example.com/images/amla.jpg
Indigestion Bloating,Hingvastak Churna,Hingvastak Churna improves digestion and reduces bloating.,Take 1–2 g powder with ghee before meals.,Avoid in gastric ulcers.,https://example.com/images/hingvastak_churna.jpg
Infertility Support,Kapikacchu,Kapikacchu improves sperm count and vitality.,Take 3–5 g seed powder with milk daily.,Avoid in high Pitta disorders.,https://example.com/images/kapikacchu.jpg
Insomnia Sleep Disorder,Tagara,Tagara promotes sound sleep and reduces insomnia.,Take 1 capsule (500 mg) at bedtime with milk.,Avoid overdose; may cause excessive drowsiness.,https://example.com/images/tagara.jpg
Joint Pain Arthritis,Ashwagandha,Ashwagandha reduces joint pain and strengthens bones.,Take 1–2 tsp powder with warm milk daily.,Avoid during pregnancy; monitor thyroid.,https://example.com/images/ashwagandha.jpg
Kidney Stones,Punarnava,Punarnava reduces swelling and supports kidney function.,Take 1 tsp decoction or powder twice daily.,Avoid in low blood pressure; consult physician.,https://example.com/images/punarnava.jpg
Liver Disorder,Bhumyamalaki,Bhumyamalaki detoxifies the liver and supports jaundice treatment.,Take 5–10 ml fresh juice twice daily.,Avoid in very weak patients without supervision.,https://example.com/images/bhumyamalaki.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
Allergic Skin Rash,Neem,Neem detoxifies the blood and clears skin allergies.,Apply neem paste externally and take 1–2 g neem powder daily.,Avoid in very dry skin; may cause dryness.,https://example.com/images/neem.jpg
Loss of Appetite,Chitrak,Chitrak stimulates digestion and improves appetite.,Take 500 mg root powder with warm water before meals.,Avoid in ulcers and pregnancy.,https://example.com/images/chitrak.jpg
Obstructed Menstruation,Lodhra,Lodhra regulates menstruation and reduces bleeding issues.,Take 1–2 g powder with honey daily.,Avoid in constipation and dryness issues.,https://example.com/images/lodhra.jpg
Indigestion with Bloating,Ajwain,"Ajwain relieves gas, indigestion, and stomach pain.",Take 1 tsp roasted ajwain seeds with warm water.,Avoid in hyperacidity.,https://example.com/images/ajwain.jpg
Weak Immunity in Children,Swarna Bhasma,Swarna Bhasma enhances immunity in children.,Administer under supervision: 30–60 mg with honey weekly.,Use strictly under medical guidance only.,https://example.com/images/swarna_bhasma.jpg
Chronic Cough,Pippali,Pippali clears mucus and strengthens lungs.,Take 1–2 g powder with honey daily.,Avoid in gastritis and high Pitta conditions.,https://example.com/images/pippali.jpg
Poor Memory,Shankhpushpi,Shankhpushpi enhances memory and calms the mind.,Take 1–2 tsp powder with warm milk daily.,Avoid overdose; may cause drowsiness.,https://example.com/images/shankhpushpi.jpg
Obesity,Medohar Guggulu,Medohar Guggulu supports weight reduction and fat metabolism.,Take 1 tablet twice daily after meals.,Avoid in pregnancy and thyroid disorders.,https://example.com/images/medohar_guggulu.jpg
Chronic Fever,Mrityunjaya Rasa,Mrityunjaya Rasa reduces fever and supports immunity.,Take 125 mg with honey twice daily.,Strictly under Ayurvedic physician’s supervision.,https://example.com/images/mrityunjaya_rasa.jpg
Sinus Congestion,Sitopaladi Churna,Sitopaladi relieves sinusitis and cough.,Take 1–2 g with honey thrice daily.,Avoid in diabetes without doctor’s advice.,https://example.com/images/sitopaladi_churna.jpg
